Column_Data_00
    step        time[-]          F_x           F_y           F_z
      89   2.781250e-01  -6.3450e-04    0.0000e+00    9.7630e-07
      90   2.812500e-01  -6.4996e-04    0.0000e+00    1.0459e-06
      91   2.843750e-01  -6.6404e-04    0.0000e+00    1.1164e-06
      92   2.875000e-01  -6.7706e-04    0.0000e+00    1.1883e-06
      93   2.906250e-01  -6.9024e-04    0.0000e+00    1.2651e-06
      94   2.937500e-01  -6.9650e-04    0.0000e+00    1.3172e-06
      95   2.968750e-01  -7.0396e-04    0.0000e+00    1.3738e-06
      96   3.000000e-01  -7.1582e-04    0.0000e+00    1.4491e-06
      97   3.031250e-01  -7.2957e-04    0.0000e+00    1.5352e-06
      98   3.062500e-01  -7.4325e-04    0.0000e+00    1.6250e-06
      99   3.093750e-01  -7.5647e-04    0.0000e+00    1.7168e-06
     100   3.125000e-01  -7.6954e-04    0.0000e+00    1.8118e-06
     101   3.156250e-01  -7.8268e-04    0.0000e+00    1.9108e-06
     102   3.187500e-01  -7.9596e-04    0.0000e+00    2.0144e-06
     103   3.218750e-01  -8.0932e-04    0.0000e+00    2.1225e-06
     104   3.250000e-01  -8.2273e-04    0.0000e+00    2.2349e-06
     105   3.281250e-01  -8.3618e-04    0.0000e+00    2.3520e-06
     106   3.312500e-01  -8.4968e-04    0.0000e+00    2.4737e-06
     107   3.343750e-01  -8.6323e-04    0.0000e+00    2.6004e-06
     108   3.375000e-01  -8.7684e-04    0.0000e+00    2.7320e-06
     109   3.406250e-01  -8.9049e-04    0.0000e+00    2.8687e-06
     110   3.437500e-01  -9.0419e-04    0.0000e+00    3.0107e-06
     111   3.468750e-01  -9.1793e-04    0.0000e+00    3.1582e-06
     112   3.500000e-01  -9.3171e-04    0.0000e+00    3.3111e-06
     113   3.531250e-01  -9.4552e-04    0.0000e+00    3.4696e-06
     114   3.562500e-01  -9.5939e-04    0.0000e+00    3.6341e-06
     115   3.593750e-01  -9.7329e-04    0.0000e+00    3.8046e-06
     116   3.625000e-01  -9.8723e-04    0.0000e+00    3.9811e-06
     117   3.656250e-01  -1.0012e-03    0.0000e+00    4.1639e-06
     118   3.687500e-01  -1.0152e-03    0.0000e+00    4.3531e-06
     119   3.718750e-01  -1.0292e-03    0.0000e+00    4.5488e-06
     120   3.750000e-01  -1.0433e-03    0.0000e+00    4.7512e-06
     121   3.781250e-01  -1.0574e-03    0.0000e+00    4.9605e-06
     122   3.812500e-01  -1.0715e-03    0.0000e+00    5.1767e-06
     123   3.843750e-01  -1.0856e-03    0.0000e+00    5.4001e-06
